Species ,Age,Rep,Temp,Alive,Dead
Littoraria melanostoma,3,1,37.2,22,0
Littoraria melanostoma,3,1,40.1,21,0
Littoraria melanostoma,3,1,42.8,17,2
Littoraria melanostoma,3,1,45.6,0,19
Littoraria melanostoma,3,1,48.5,0,21
Littoraria melanostoma,3,1,51.6,0,19
Littoraria melanostoma,3,1,54.9,0,21
Littoraria melanostoma,3,1,27.8,22,0
Littoraria melanostoma,3,1,31.5,23,0
Littoraria melanostoma,3,1,34.4,23,0
Littoraria melanostoma,3,1,37,23,0
Littoraria melanostoma,3,1,40,22,1
Littoraria melanostoma,3,1,42.7,23,0
Littoraria melanostoma,3,1,45.5,0,23
Littoraria melanostoma,3,1,48.6,0,22
Littoraria melanostoma,3,1,51.9,0,21
Littoraria melanostoma,3,1,54.8,0,19
Littoraria melanostoma,3,2,27.5,20,0
Littoraria melanostoma,3,2,31.3,20,0
Littoraria melanostoma,3,2,34.2,22,0
Littoraria melanostoma,3,2,37,18,1
Littoraria melanostoma,3,2,40,23,0
Littoraria melanostoma,3,2,42.7,20,0
Littoraria melanostoma,3,2,45.9,0,24
Littoraria melanostoma,3,2,48.7,0,20
Littoraria melanostoma,3,2,51.8,0,22
Littoraria melanostoma,3,2,54.6,0,21
Littoraria melanostoma,3,2,30,21,0
Littoraria melanostoma,3,2,32,22,0
Littoraria melanostoma,3,2,34.3,23,0
Littoraria melanostoma,3,2,36.8,22,0
Littoraria melanostoma,3,2,39.4,22,0
Littoraria melanostoma,3,2,42,19,0
Littoraria melanostoma,3,2,44.5,19,4
Littoraria melanostoma,3,2,47.1,0,23
Littoraria melanostoma,3,2,50.1,0,20
Littoraria melanostoma,3,2,53,0,21
Littoraria melanostoma,3,2,29.7,19,0
Littoraria melanostoma,3,2,32.2,21,0
Littoraria melanostoma,3,2,34.4,20,0
Littoraria melanostoma,3,2,36.7,23,0
Littoraria melanostoma,3,2,39.4,22,0
Littoraria melanostoma,3,2,42.2,20,0
Littoraria melanostoma,3,2,44.4,22,2
Littoraria melanostoma,3,2,47.3,0,21
Littoraria melanostoma,3,2,50.1,0,23
Littoraria melanostoma,3,2,53.5,0,20
Littoraria melanostoma,3,2,29.5,20,0
Littoraria melanostoma,3,2,32.1,21,0
Littoraria melanostoma,3,2,34.2,24,0
Littoraria melanostoma,3,2,36.9,19,0
Littoraria melanostoma,3,2,39.3,24,0
Littoraria melanostoma,3,2,42.1,22,0
Littoraria melanostoma,3,2,44.5,18,2
Littoraria melanostoma,3,2,47.2,0,22
Littoraria melanostoma,3,2,50.2,0,20
Littoraria melanostoma,3,2,53.5,0,23
Littoraria melanostoma,3,2,29.1,23,0
Littoraria melanostoma,3,2,31.8,20,0
Littoraria melanostoma,3,2,34.4,22,0
Littoraria melanostoma,3,2,36.78,20,0
Littoraria melanostoma,3,2,39,23,0
Littoraria melanostoma,3,2,42.1,23,0
Littoraria melanostoma,3,2,44.2,16,5
Littoraria melanostoma,3,2,47.5,0,24
Littoraria melanostoma,3,2,50.1,0,21
Littoraria melanostoma,3,2,53.1,0,22
Littoraria ardouiniana,1,1,26.9,22,0
Littoraria ardouiniana,1,1,29.3,22,0
Littoraria ardouiniana,1,1,31.8,24,0
Littoraria ardouiniana,1,1,35,21,0
Littoraria ardouiniana,1,1,37.7,18,0
Littoraria ardouiniana,1,1,40.4,20,1
Littoraria ardouiniana,1,1,43.9,14,8
Littoraria ardouiniana,1,1,46.9,0,21
Littoraria ardouiniana,1,1,50.2,0,20
Littoraria ardouiniana,1,1,53.8,0,21
Littoraria ardouiniana,1,1,26.7,24,0
Littoraria ardouiniana,1,1,29.1,23,1
Littoraria ardouiniana,1,1,31.5,22,1
Littoraria ardouiniana,1,1,34.5,22,0
Littoraria ardouiniana,1,1,37.9,21,0
Littoraria ardouiniana,1,1,40.8,20,1
Littoraria ardouiniana,1,1,44,15,7
Littoraria ardouiniana,1,1,47.2,0,22
Littoraria ardouiniana,1,1,50,0,22
Littoraria ardouiniana,1,1,53.6,0,19
Littoraria ardouiniana,1,1,26.6,21,0
Littoraria ardouiniana,1,1,29,20,0
Littoraria ardouiniana,1,1,32.1,19,0
Littoraria ardouiniana,1,1,34.7,19,0
Littoraria ardouiniana,1,1,37.3,20,0
Littoraria ardouiniana,1,1,40.7,20,1
Littoraria ardouiniana,1,1,44.1,14,6
Littoraria ardouiniana,1,1,47.2,0,23
Littoraria ardouiniana,1,1,49.9,0,24
Littoraria ardouiniana,1,1,53.6,0,20
Littoraria ardouiniana,1,1,26.4,25,0
Littoraria ardouiniana,1,1,28.9,19,2
Littoraria ardouiniana,1,1,31.8,21,0
Littoraria ardouiniana,1,1,34.6,20,1
Littoraria ardouiniana,1,1,37.3,22,0
Littoraria ardouiniana,1,1,40.9,20,2
Littoraria ardouiniana,1,1,44.1,16,5
Littoraria ardouiniana,1,1,47.1,0,20
Littoraria ardouiniana,1,1,50,0,21
Littoraria ardouiniana,1,1,53.3,0,23
